pgs_id,mode,metric,value,baseline_value,reduction,claim,matched_random_mode
PGS001288,duffy_gate,score_var_retained_AFR,1,,,,
PGS001288,duffy_gate,score_var_retained_AMR,1,,,,
PGS001288,duffy_gate,score_var_retained_EAS,1,,,,
PGS001288,duffy_gate,score_var_retained_EUR,1,,,,
PGS001288,duffy_gate,score_var_retained_SAS,1,,,,
PGS001288,duffy_gate,corr_edited_original_AFR,1,,,,
PGS001288,duffy_gate,corr_edited_original_AMR,1,,,,
PGS001288,duffy_gate,corr_edited_original_EAS,1,,,,
PGS001288,duffy_gate,corr_edited_original_EUR,1,,,,
PGS001288,duffy_gate,corr_edited_original_SAS,1,,,,
PGS000018,reweight_linear,mean_abs_delta_EUR,0.448527,0.798195,0.349668,ancestry_mean_separation_not_portability,
PGS000018,reweight_linear,weight_mass_retained,0.694427,,,,
PGS000018,reweight_linear,variant_frac_retained,1,,,,
PGS000018,reweight_linear,score_var_retained_AFR,0.359729,,,,
PGS000018,reweight_linear,score_var_retained_AMR,0.357565,,,,
PGS000018,reweight_linear,score_var_retained_EAS,0.308142,,,,
PGS000018,reweight_linear,score_var_retained_EUR,0.37469,,,,
PGS000018,reweight_linear,score_var_retained_SAS,0.334391,,,,
PGS000018,reweight_linear,corr_edited_original_AFR,0.989146,,,,
PGS000018,reweight_linear,corr_edited_original_AMR,0.99571,,,,
PGS000018,reweight_linear,corr_edited_original_EAS,0.994699,,,,
PGS000018,reweight_linear,corr_edited_original_EUR,0.995594,,,,
PGS000018,reweight_linear,corr_edited_original_SAS,0.993061,,,,
PGS004696,reweight_linear,mean_abs_delta_EUR,0.510299,0.848247,0.337947,ancestry_mean_separation_not_portability,
PGS004696,reweight_linear,weight_mass_retained,0.684049,,,,
PGS004696,reweight_linear,variant_frac_retained,1,,,,
PGS004696,reweight_linear,score_var_retained_AFR,0.480895,,,,
PGS004696,reweight_linear,score_var_retained_AMR,0.343039,,,,
PGS004696,reweight_linear,score_var_retained_EAS,0.30368,,,,
