pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS000018,T2D,reweight_exp,mean_abs_delta_EUR,0.5448719241524254,0.7190071660432993,-0.17413524189087393,0.17413524189087393,
PGS000018,T2D,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS000018,T2D,reweight_exp,median_I2_retained,0.0,,,,75379.0
PGS000018,T2D,reweight_exp,mean_sign_concordance_retained,0.6301847100257874,,,,75379.0
PGS000018,T2D,reweight_exp,weight_retained_frac,0.40966095158161375,1.0,-0.5903390484183862,0.5903390484183862,
PGS004696,CAD,reweight_exp,mean_abs_delta_EUR,2.3580785606568284,2.5994430113029185,-0.24136445064609013,0.24136445064609013,
PGS004696,CAD,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS004696,CAD,reweight_exp,median_I2_retained,0.0,,,,56256.0
PGS004696,CAD,reweight_exp,mean_sign_concordance_retained,0.6269418001174927,,,,56256.0
PGS004696,CAD,reweight_exp,weight_retained_frac,0.39597472075774226,1.0,-0.6040252792422578,0.6040252792422578,
PGS004698,CAD,reweight_exp,mean_abs_delta_EUR,2.122949522175251,2.287875058080976,-0.16492553590572534,0.16492553590572534,
PGS004698,CAD,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS004698,CAD,reweight_exp,median_I2_retained,0.0,,,,39217.0
PGS004698,CAD,reweight_exp,mean_sign_concordance_retained,0.6361477971076965,,,,39217.0
PGS004698,CAD,reweight_exp,weight_retained_frac,0.4752141672817818,1.0,-0.5247858327182182,0.5247858327182182,
PGS003897,BMI,reweight_exp,mean_abs_delta_EUR,0.31499612775159985,0.37614086305643446,-0.06114473530483461,0.06114473530483461,
PGS003897,BMI,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS003897,BMI,reweight_exp,median_I2_retained,0.3653784394264221,,,,12209.0
PGS003897,BMI,reweight_exp,mean_sign_concordance_retained,0.5612508654594421,,,,12209.0
PGS003897,BMI,reweight_exp,weight_retained_frac,0.2876813555218027,1.0,-0.7123186444781973,0.7123186444781973,
PGS002853,LDL,reweight_exp,mean_abs_delta_EUR,0.4016032915603338,0.45118847641173754,-0.04958518485140373,0.04958518485140373,
PGS002853,LDL,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS002853,LDL,reweight_exp,median_I2_retained,0.04229341074824333,,,,448695.0
PGS002853,LDL,reweight_exp,mean_sign_concordance_retained,0.5856369137763977,,,,448695.0
PGS002853,LDL,reweight_exp,weight_retained_frac,0.4601360999768304,1.0,-0.5398639000231695,0.5398639000231695,
PGS002858,LDL,reweight_exp,mean_abs_delta_EUR,0.41022610813382676,0.4849669332315403,-0.07474082509771351,0.07474082509771351,
PGS002858,LDL,reweight_exp,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS002858,LDL,reweight_exp,median_I2_retained,0.042294204235076904,,,,448696.0
