pgs_id,mode,trait,status,n_variants_original,n_variants_edited,n_removed,variant_retention,weight_mass_retention,mass_removed,n_af_overlap,n_draws,observed_mad_baseline,observed_mad_edited,observed_mad_reduction,expected_mad_baseline,expected_mad_edited,expected_mad_reduction,delta_vs_random_n,delta_vs_random_mass,empirical_p_n,empirical_p_mass,random_n_mad_reduction_mean,random_mass_mad_reduction_mean,claim
PGS004840,flag,T2D,ok,6.05157e+06,6.05157e+06,0,1,1,0,77727,500,,,,0.0308458,0.0308458,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,fst,T2D,ok,6.05157e+06,5.44641e+06,605157,0.9,0.883324,28.1623,77727,500,,,,0.0308458,0.0331862,-0.00234049,-0.0331788,-0.00604048,1,0.994012,0.0308383,0.0037,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,ld,T2D,ok,6.05157e+06,5.44641e+06,605157,0.9,0.946873,12.8234,77727,500,,,,0.0308458,0.0241447,0.00670109,-0.0241359,0.00495954,1,0.00399202,0.030837,0.00174155,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,maf,T2D,ok,6.05157e+06,5.44641e+06,605157,0.9,0.867733,31.9255,77727,500,,,,0.0308458,0.0290773,0.00176844,-0.0290664,-0.00201981,1,0.772455,0.0308349,0.00378825,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,duffy_gate,T2D,ok,6.05157e+06,6.05072e+06,851,0.999859,0.999803,0.0476003,77727,500,,,,0.0308458,0.0308458,0,-0.00035393,-4.85593e-06,0.652695,0.502994,0.00035393,4.85593e-06,ancestry_mean_separation_vs_matched_random_af_expected
PGS000191,filter_5,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS000191,filter_10,,insufficient_af_overlap,,,,0.901163,0.885728,,10,,,,,,,,,,,,,,
PGS000191,filter_20,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS000191,reweight_linear,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS000191,reweight_exp,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS000191,flag,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS000191,fst,,insufficient_af_overlap,,,,0.901163,0.913626,,10,,,,,,,,,,,,,,
PGS000191,ld,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS000191,maf,,insufficient_af_overlap,,,,0.901163,0.796654,,10,,,,,,,,,,,,,,
PGS000191,duffy_gate,,insufficient_af_overlap,,,,0.994186,0.983142,,10,,,,,,,,,,,,,,
PGS004133,filter_5,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS004133,filter_10,,insufficient_af_overlap,,,,0.901316,0.884688,,5,,,,,,,,,,,,,,
PGS004133,filter_20,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS004133,reweight_linear,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS004133,reweight_exp,,missing_weights,,,,,,,,,,,,,,,,,,,,,
PGS004133,flag,,missing_weights,,,,,,,,,,,,,,,,,,,,,
